[2026-02-15T21:19:26.742Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:21:00.271Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"6f4e0d4c-d3c4-4a2d-a81e-a62c68982b6e","userName":"smart-bronze","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"owner"}
[2026-02-15T21:21:00.872Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:21:01.139Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"6f4e0d4c-d3c4-4a2d-a81e-a62c68982b6e","userName":"smart-bronze","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"owner"}
[2026-02-15T21:21:02.746Z] [INFO] [ROOM_CREATED] Room created | {"roomId":"73136c05-e3a5-46bd-bda0-44df232d663f","ownerId":"6f4e0d4c-d3c4-4a2d-a81e-a62c68982b6e","ownerName":"smart-bronze"}
[2026-02-15T21:21:03.046Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"6f4e0d4c-d3c4-4a2d-a81e-a62c68982b6e","userName":"smart-bronze","roomId":"73136c05-e3a5-46bd-bda0-44df232d663f","role":"owner"}
[2026-02-15T21:21:11.580Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"6f4e0d4c-d3c4-4a2d-a81e-a62c68982b6e","userName":"smart-bronze","roomId":"73136c05-e3a5-46bd-bda0-44df232d663f","role":"owner"}
[2026-02-15T21:21:12.556Z] [WARN] [ROOM_JOIN_FAILURE] User failed to join room | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"guest","success":false,"reason":"Room does not exist"}
[2026-02-15T21:21:22.183Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"73136c05-e3a5-46bd-bda0-44df232d663f","role":"guest"}
[2026-02-15T21:21:22.183Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"73136c05-e3a5-46bd-bda0-44df232d663f","role":"guest","success":true}
